# Constructed from biom file,,
#OTU ID,Taxon,V15L
4448940,Streptococcus; s,0
4321386,Streptococcus; s,0
972940,Streptococcus; s,0
4320158,Streptococcus; s,0
1002154,Streptococcus; s,0
254347,Streptococcus; s,0
997145,Streptococcus; s,0
987875,Streptococcus; s,0
4465544,Streptococcus; s,0
4322647,Streptococcus; s,0
4361072,Veillonella; s,0
4359990,Veillonella; s,0
3143426,Veillonella; s,0
3621083,Veillonella; s,0
4414316,Veillonella; s,0
4352534,Veillonella; s,0
4395904,Veillonella; s,0
4196769,Veillonella; s,0
4380365,Veillonella; s,0
4336189,Veillonella; s,0
123969,Veillonella; s,0
4296244,Veillonella; s,0
3145472,Veillonella; s,0
4307413,Veillonella; s,0
3209977,Veillonella; s,0
4380020,Veillonella; s,0
431435,Veillonella; s,0
519302,Veillonella; s,0
3218245,Veillonella; s,0
4425917,Veillonella; s,0
4455822,Veillonella; s,0
4266230,Veillonella; s,0
4410401,Veillonella; s,0
4308271,Veillonella; s,0
4374753,Veillonella; s,0
4326711,Veillonella; s,0
4346668,Veillonella; s,0
4295368,Veillonella; s,0
4418363,Veillonella; s,0
4404727,Veillonella; s,0
4453501,Veillonella; s,0
4302506,Veillonella; s,0
4392386,Veillonella; s,0
4386879,Veillonella; s,0
3506870,Veillonella; s,0
4393117,Veillonella; s,0
4391230,Veillonella; s,0
